reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
PFK,1.9208,1.64e-06,Glycolysis/Gluconeogenesis,4.5813,17.3457
PFL,2.7505,1.48e-06,Pyruvate Metabolism,9.9302,66.8245
PGI,2.1828,1.16e-06,Glycolysis/Gluconeogenesis,4.298,19.514
PGK,2.3796,1.27e-06,Glycolysis/Gluconeogenesis,5.4922,28.5811
PGL,0.9612,0.0366,Pentose Phosphate Pathway,5.4315,10.5744
ACALD,2.2272,1.37e-06,Pyruvate Metabolism,4.5101,21.1176
AKGt2r,0.3229,0.527,"Transport, Extracellular",4.781,5.9804
PGM,1.8394,2.37e-06,Glycolysis/Gluconeogenesis,2.5079,8.975
PIt2r,0.7804,0.127,Inorganic Ion Transport and Metabolism,4.3781,7.5197
ALCD2x,3.4757,1.39e-06,Pyruvate Metabolism,8.4219,93.691
ACALDt,0.6125,0.28,"Transport, Extracellular",0.5564,0.8508
ACKr,3.1288,1.32e-06,Pyruvate Metabolism,4.6081,40.3077
PPC,1.2653,0.00702,Anaplerotic reactions,1.4428,3.4682
ACONTa,-3.1594,6.87e-07,Citric Acid Cycle,2.9117,0.3259
ACONTb,-2.3371,7.3e-07,Citric Acid Cycle,7.5559,1.4954
ATPM,-0.4726,0.133,Biomass and maintenance functions,6.4763,4.6672
PPCK,0.5552,0.0666,Anaplerotic reactions,2.9479,4.3314
ACt2r,0.4091,0.515,"Transport, Extracellular",7.3883,9.8106
PPS,1.5494,1.63e-05,Glycolysis/Gluconeogenesis,1.8034,5.2784
ADK1,-3.043,8.4e-07,Oxidative Phosphorylation,3.3233,0.4032
AKGDH,-1.6155,1.66e-05,Citric Acid Cycle,4.8179,1.5723
ATPS4r,-3.4226,1.22e-06,Oxidative Phosphorylation,0.3912,0.0365
PTAr,2.6184,1.03e-06,Pyruvate Metabolism,5.8597,35.9837
PYK,1.9579,2.39e-06,Glycolysis/Gluconeogenesis,7.1525,27.7867
BIOMASS_Ecoli_core_w_GAM,-0.159,0.47,Biomass and maintenance functions,3.2718,2.9303
PYRt2,-0.6669,0.241,"Transport, Extracellular",9.1574,5.768
CO2t,0.2614,0.467,"Transport, Extracellular",7.3479,8.8072
RPE,0.5417,0.164,Pentose Phosphate Pathway,9.0638,13.194
CS,-2.7123,1.89e-06,Citric Acid Cycle,6.3473,0.9685
RPI,0.3603,0.113,Pentose Phosphate Pathway,5.0216,6.4462
SUCCt2_2,0.8966,0.236,"Transport, Extracellular",7.7801,14.484
CYTBD,-3.1759,8.42e-07,Oxidative Phosphorylation,5.6107,0.6208
D_LACt2,0.9748,0.241,"Transport, Extracellular",5.0103,9.8472
ENO,2.0536,1.54e-06,Glycolysis/Gluconeogenesis,4.7501,19.7197
