reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
EX_cm_e,1.1935,0.385,Extracellular exchange,1.7761,4.062
EX_cmp_e,0.6373,0.375,Extracellular exchange,7.1134,11.0643
EX_co2_e,-0.2854,0.358,Extracellular exchange,4.8021,3.9401
EX_cobalt2_e,-0.3654,0.468,Extracellular exchange,5.8236,4.5206
DM_4crsol_c,0.2301,0.651,Intracellular demand,5.2969,6.2129
DM_5drib_c,-0.5803,0.522,Intracellular demand,6.808,4.5533
DM_aacald_c,-0.1198,0.745,Intracellular demand,5.9,5.4299
DM_amob_c,-0.6826,0.441,Intracellular demand,2.766,1.7234
DM_mththf_c,0.5134,0.558,Intracellular demand,4.5792,6.5363
EX_colipa_e,-0.4862,0.523,Extracellular exchange,7.9713,5.6907
DM_oxam_c,-0.0917,0.577,Intracellular demand,6.2677,5.8818
EX_glc__D_e,-0.1472,0.54,Extracellular exchange,1.1718,1.0581
EX_glcn_e,-0.2182,0.368,Extracellular exchange,3.6167,3.1091
BIOMASS_Ec_iJO1366_WT_53p95M,-0.4503,0.322,Biomass and maintenance functions,10.0421,7.3496
EX_glcr_e,0.1887,0.298,Extracellular exchange,5.9995,6.8379
EX_colipap_e,-0.1147,0.77,Extracellular exchange,8.9624,8.2773
EX_glcur_e,-0.2569,0.417,Extracellular exchange,7.6186,6.3759
EX_glcur1p_e,-0.3218,0.53,Extracellular exchange,9.9965,7.9977
BIOMASS_Ec_iJO1366_core_53p95M,-0.0138,0.802,Biomass and maintenance functions,6.5261,6.4638
EX_12ppd__R_e,-0.2748,0.385,Extracellular exchange,0.5311,0.439
EX_gln__L_e,-1.1824,0.305,Extracellular exchange,3.2053,1.4123
EX_cpgn_e,0.3134,0.749,Extracellular exchange,4.4902,5.5797
EX_glu__L_e,0.5358,0.228,Extracellular exchange,6.1713,8.9466
EX_gly_e,0.3065,0.752,Extracellular exchange,0.8428,1.0423
EX_glyald_e,0.454,0.479,Extracellular exchange,1.9829,2.7162
EX_glyb_e,0.912,0.284,Extracellular exchange,4.7311,8.9022
EX_glyc_e,0.5281,0.304,Extracellular exchange,4.6324,6.6803
EX_12ppd__S_e,0.5473,0.301,Extracellular exchange,6.642,9.7066
EX_14glucan_e,1.2326,0.193,Extracellular exchange,2.119,4.9795
EX_cpgn_un_e,0.5371,0.292,Extracellular exchange,7.3288,10.6346
EX_15dap_e,-0.9693,0.243,Extracellular exchange,3.6126,1.8452
EX_glyc__R_e,-1.0425,0.29,Extracellular exchange,8.145,3.9544
EX_glyc2p_e,-0.6392,0.533,Extracellular exchange,10.3877,6.6696
EX_23camp_e,0.6636,0.364,Extracellular exchange,2.2987,3.6414
EX_23ccmp_e,-0.3627,0.56,Extracellular exchange,0.3879,0.3017
EX_23cgmp_e,0.0334,0.561,Extracellular exchange,7.603,7.7813
EX_23cump_e,0.0953,0.62,Extracellular exchange,1.3067,1.3959
EX_23dappa_e,0.1219,0.656,Extracellular exchange,3.8256,4.1629
EX_26dap__M_e,-0.3489,0.662,Extracellular exchange,8.4362,6.624
EX_glyc3p_e,0.014,0.362,Extracellular exchange,12.4805,12.6023
EX_glyclt_e,-0.6356,0.299,Extracellular exchange,3.6761,2.3661
EX_gmp_e,-0.5756,0.403,Extracellular exchange,3.8375,2.5749
EX_gsn_e,-0.0096,0.55,Extracellular exchange,4.8386,4.8064
EX_gthox_e,0.0675,0.823,Extracellular exchange,3.4819,3.6486
EX_gthrd_e,0.2391,0.36,Extracellular exchange,9.4443,11.1464
EX_gtp_e,-0.5474,0.252,Extracellular exchange,6.0842,4.1631
EX_gua_e,-0.1959,0.655,Extracellular exchange,1.8389,1.6054
EX_h_e,-0.6797,0.405,Extracellular exchange,4.1696,2.6031
EX_h2_e,-0.3482,0.291,Extracellular exchange,11.2332,8.8244
EX_h2o_e,0.7839,0.366,Extracellular exchange,0.9099,1.5668
EX_h2o2_e,0.1386,0.634,Extracellular exchange,0.6764,0.7446
EX_h2s_e,-0.1248,0.492,Extracellular exchange,7.6434,7.0099
EX_hacolipa_e,-0.4488,0.389,Extracellular exchange,12.2982,9.0104
EX_halipa_e,-0.4363,0.614,Extracellular exchange,7.1315,5.2702
EX_hdca_e,-0.6919,0.296,Extracellular exchange,5.6308,3.4858
EX_hdcea_e,-0.0417,0.44,Extracellular exchange,6.3759,6.1943
EX_hg2_e,-0.0937,0.593,Extracellular exchange,10.9448,10.2562
EX_his__L_e,0.4714,0.283,Extracellular exchange,7.2378,10.0351
EX_2ddglcn_e,-0.5438,0.589,Extracellular exchange,3.7936,2.6022
EX_34dhpac_e,-0.0625,0.452,Extracellular exchange,10.9426,10.4788
EX_3amp_e,0.7753,0.2,Extracellular exchange,4.6362,7.9353
EX_3cmp_e,0.1553,0.489,Extracellular exchange,2.8445,3.1678
EX_3gmp_e,0.6343,0.24,Extracellular exchange,9.6531,14.9832
EX_3hcinnm_e,-0.0407,0.724,Extracellular exchange,2.097,2.0387
EX_3hpp_e,-0.0594,0.857,Extracellular exchange,6.2672,6.0146
EX_3hpppn_e,-0.189,0.817,Extracellular exchange,3.5885,3.1479
EX_hom__L_e,0.297,0.267,Extracellular exchange,4.0976,5.0344
EX_hxa_e,-0.2308,0.663,Extracellular exchange,4.0453,3.4473
EX_hxan_e,-0.8478,0.376,Extracellular exchange,6.016,3.3427
EX_idon__L_e,0.1325,0.635,Extracellular exchange,0.6234,0.6833
EX_3ump_e,-0.4108,0.301,Extracellular exchange,3.6501,2.7455
EX_4abut_e,0.9066,0.238,Extracellular exchange,8.3478,15.6488
EX_4hoxpacd_e,-0.4298,0.525,Extracellular exchange,6.2657,4.6513
EX_5dglcn_e,-1.0649,0.283,Extracellular exchange,3.8648,1.8474
EX_5mtr_e,-0.5162,0.55,Extracellular exchange,8.4215,5.8886
EX_LalaDglu_e,0.4243,0.653,Extracellular exchange,3.9293,5.2728
EX_ile__L_e,1.5525,0.136,Extracellular exchange,4.1077,12.0484
EX_imp_e,-0.6919,0.521,Extracellular exchange,8.6391,5.3479
EX_indole_e,0.5345,0.534,Extracellular exchange,5.8392,8.4579
EX_inost_e,0.0354,0.438,Extracellular exchange,1.392,1.4266
EX_ins_e,-0.1592,0.461,Extracellular exchange,5.6759,5.0828
EX_isetac_e,-0.9187,0.364,Extracellular exchange,7.56,3.9992
EX_k_e,-0.3549,0.403,Extracellular exchange,6.2552,4.8912
EX_LalaDgluMdap_e,-0.2853,0.349,Extracellular exchange,2.2378,1.8363
EX_LalaDgluMdapDala_e,0.3137,0.746,Extracellular exchange,1.5644,1.9443
EX_LalaLglu_e,-0.7483,0.349,Extracellular exchange,4.1503,2.4706
EX_kdo2lipid4_e,-0.9582,0.482,Extracellular exchange,0.8705,0.4481
EX_ac_e,-0.3096,0.287,Extracellular exchange,2.4031,1.9389
EX_crn_e,0.2943,0.454,Extracellular exchange,2.5776,3.1608
EX_acac_e,0.1357,0.512,Extracellular exchange,5.3777,5.9081
